origin_zone_id,destination_zone_id,base_demand,distance_km,source_flow
140,150,0.580954,2.7973,566189.568665
141,151,0.461134,2.7931,449415.141224
160,150,0.455947,2.7973,444359.979076
131,141,0.452899,2.7931,441388.946512
169,150,0.325907,5.5946,317624.630589
129,140,0.324322,6.2338,316080.022614
149,150,0.316935,5.5698,308880.195463
140,141,0.310619,5.5699,302725.354732
139,140,0.310443,5.5698,302552.987605
159,150,0.303389,6.2337,295678.313603
141,140,0.302688,5.5699,294995.592142
151,150,0.300425,5.5698,292789.922813
139,150,0.290781,6.2337,283391.412337
150,151,0.286478,5.5698,279196.981683
151,140,0.281943,6.2319,274777.565171
159,149,0.280132,2.8015,273012.954339
132,142,0.279075,2.7889,271983.062274
162,151,0.275617,6.23,268612.148275
132,141,0.275423,6.2301,268423.649145
161,141,0.271354,5.5862,264457.519549
143,153,0.263278,2.7847,256586.690918
152,141,0.261257,6.23,254617.530064
161,150,0.260463,6.2318,253843.801243
142,151,0.257845,6.23,251291.807118
150,141,0.257056,6.2319,250523.27726
152,142,0.25642,2.7889,249903.371121
140,151,0.255413,6.2319,248922.154006
131,140,0.254122,6.232,247663.513606
162,141,0.248872,7.8856,242547.661891
141,131,0.244169,2.7931,237963.762137
121,132,0.243156,2.789,236976.032097
129,139,0.242922,2.8016,236748.796207
159,140,0.240207,7.8974,234102.268336
160,140,0.23685,5.5946,230830.35622
142,152,0.236588,2.7889,230575.109853
129,150,0.236149,7.8975,230147.540279
151,161,0.236078,2.7931,230078.13938
149,139,0.229371,2.8015,223542.018107
118,129,0.228577,2.8016,222767.489273
162,152,0.222833,2.7889,217169.724176
118,140,0.21998,7.8976,214389.017029
161,140,0.218281,7.8915,212734.083288
169,140,0.216583,8.3919,211078.829719
132,151,0.215969,7.8856,210480.484293
139,149,0.21495,2.8015,209486.986159
149,159,0.21354,2.8015,208112.637055
131,150,0.212005,7.8916,206617.603228
168,159,0.209675,2.8015,204346.130924
152,162,0.209086,2.7889,203772.215696
