zone_id,name,centroid_x,centroid_y,population_proxy,jobs_proxy,poi_count,zone_type
60,NIR1 zone 60,0.0,0.0,27109.0024,212.0,212,mixed
97,NIR1 zone 97,1.0,0.0,27365.085,241.0,241,mixed
99,NIR1 zone 99,2.0,0.0,20335.3804,265.0,265,mixed
108,NIR1 zone 108,3.0,0.0,41000.9179,337.0,337,mixed
109,NIR1 zone 109,4.0,0.0,81344.8756,715.0,715,mixed
117,NIR1 zone 117,5.0,0.0,70552.5096,312.0,312,mixed
118,NIR1 zone 118,6.0,0.0,165831.4157,912.0,912,mixed
119,NIR1 zone 119,0.0,1.0,2594.9821,58.0,58,mixed
120,NIR1 zone 120,1.0,1.0,58826.1531,350.0,350,mixed
121,NIR1 zone 121,2.0,1.0,98961.2515,1052.0,1052,mixed
129,NIR1 zone 129,3.0,1.0,202024.82,1639.0,1639,mixed
130,NIR1 zone 130,4.0,1.0,67045.7391,1081.0,1081,mixed
131,NIR1 zone 131,5.0,1.0,125509.6072,1751.0,1751,mixed
132,NIR1 zone 132,6.0,1.0,246984.1365,2014.0,2014,mixed
133,NIR1 zone 133,0.0,2.0,11695.3536,443.0,443,mixed
138,NIR1 zone 138,1.0,2.0,31773.3536,329.0,329,mixed
139,NIR1 zone 139,2.0,2.0,136561.0777,1690.0,1690,mixed
140,NIR1 zone 140,3.0,2.0,161207.5779,4844.0,4844,mixed
141,NIR1 zone 141,4.0,2.0,143345.0267,4216.0,4216,mixed
142,NIR1 zone 142,5.0,2.0,192270.0408,2003.0,2003,mixed
143,NIR1 zone 143,6.0,2.0,92560.4872,866.0,866,mixed
148,NIR1 zone 148,0.0,3.0,44571.5084,809.0,809,mixed
149,NIR1 zone 149,1.0,3.0,141462.879,1680.0,1680,mixed
150,NIR1 zone 150,2.0,3.0,154357.1844,4805.0,4805,mixed
151,NIR1 zone 151,3.0,3.0,174267.0642,3740.0,3740,mixed
152,NIR1 zone 152,4.0,3.0,156443.4785,1509.0,1509,mixed
153,NIR1 zone 153,5.0,3.0,200138.404,2448.0,2448,mixed
156,NIR1 zone 156,6.0,3.0,59798.4788,714.0,714,mixed
158,NIR1 zone 158,0.0,4.0,66288.3294,823.0,823,mixed
159,NIR1 zone 159,1.0,4.0,244481.256,1611.0,1611,mixed
160,NIR1 zone 160,2.0,4.0,88642.899,1262.0,1262,mixed
161,NIR1 zone 161,3.0,4.0,123278.6099,1605.0,1605,mixed
162,NIR1 zone 162,4.0,4.0,200159.019,1398.0,1398,mixed
163,NIR1 zone 163,5.0,4.0,137944.2856,785.0,785,mixed
168,NIR1 zone 168,6.0,4.0,96437.9555,908.0,908,mixed
169,NIR1 zone 169,0.0,5.0,169702.3016,1571.0,1571,mixed
170,NIR1 zone 170,1.0,5.0,91940.0867,887.0,887,mixed
171,NIR1 zone 171,2.0,5.0,30041.9818,403.0,403,mixed
172,NIR1 zone 172,3.0,5.0,48066.8189,95.0,95,mixed
176,NIR1 zone 176,4.0,5.0,21433.6378,176.0,176,mixed
177,NIR1 zone 177,5.0,5.0,63670.4248,376.0,376,mixed
178,NIR1 zone 178,6.0,5.0,127690.7322,720.0,720,mixed
179,NIR1 zone 179,0.0,6.0,97203.6544,980.0,980,mixed
182,NIR1 zone 182,1.0,6.0,64177.8382,190.0,190,mixed
183,NIR1 zone 183,2.0,6.0,32665.8796,203.0,203,mixed
188,NIR1 zone 188,3.0,6.0,76117.6326,774.0,774,mixed
